Year,Winner
1989,Calgary Flames
1990,Edmonton Oilers
1991,Pittsburgh Penguins
1992,Pittsburgh Penguins
1993,Montreal Canadiens
1994,New York
1995,New Jersey
1996,Colorado Avalanche
1997,Detroit Red
1998,Detroit Red
1999,Dallas Stars
2000,New Jersey
2001,Colorado Avalanche
2002,Detroit Red
2003,New Jersey
2004,Tampa Bay
2006,Carolina Hurricanes
2007,Anaheim Ducks
2008,Detroit Red
2009,Pittsburgh Penguins
2010,Chicago Blackhawks
2011,Boston Bruins
2012,Los Angeles
2013,Chicago Blackhawks
2014,Los Angeles
2015,Chicago Blackhawks
2016,Pittsburgh Penguins
2017,Pittsburgh Penguins
2018,Washington Capitals
2019,St. Louis
