,Rk,Player,MP,MP,Team,Year
0,1.0,James Worthy,170,42.5,Team1,1989
1,2.0,Kareem Abdul-Jabbar,104,26.0,Team1,1989
2,3.0,Michael Cooper,163,40.8,Team1,1989
3,4.0,Tony Campbell,83,20.8,Team1,1989
4,5.0,Mychal Thompson,103,25.8,Team1,1989
5,6.0,Orlando Woolridge,87,21.8,Team1,1989
6,7.0,A.C. Green,134,33.5,Team1,1989
7,8.0,Magic Johnson,75,25.0,Team1,1989
8,9.0,David Rivers,26,8.7,Team1,1989
9,10.0,Jeff Lamp,11,2.8,Team1,1989
10,11.0,Mark McNamara,4,2.0,Team1,1989
11,,Team Totals,960,240.0,Team1,1989
0,1.0,Joe Dumars,147,36.8,Team2,1989
1,2.0,Isiah Thomas,141,35.3,Team2,1989
2,3.0,Vinnie Johnson,95,23.8,Team2,1989
3,4.0,James Edwards,97,24.3,Team2,1989
4,5.0,Bill Laimbeer,94,23.5,Team2,1989
5,6.0,Mark Aguirre,107,26.8,Team2,1989
6,7.0,John Salley,81,20.3,Team2,1989
7,8.0,Rick Mahorn,98,24.5,Team2,1989
8,9.0,Dennis Rodman,94,23.5,Team2,1989
9,10.0,John Long,2,2.0,Team2,1989
10,11.0,Fennis Dembo,2,2.0,Team2,1989
11,12.0,Micheal Williams,2,2.0,Team2,1989
12,,Team Totals,960,240.0,Team2,1989
0,1.0,Clyde Drexler,204,40.8,Team1,1990
1,2.0,Jerome Kersey,206,41.2,Team1,1990
2,3.0,Terry Porter,206,41.2,Team1,1990
3,4.0,Kevin Duckworth,149,29.8,Team1,1990
4,5.0,Buck Williams,192,38.4,Team1,1990
5,6.0,Clifford Robinson,82,16.4,Team1,1990
6,7.0,Danny Young,78,15.6,Team1,1990
7,8.0,Dražen Petrović,29,7.3,Team1,1990
8,9.0,Wayne Cooper,70,14.0,Team1,1990
9,10.0,Mark Bryant,9,4.5,Team1,1990
10,,Team Totals,1225,245.0,Team1,1990
0,1.0,Isiah Thomas,192,38.4,Team2,1990
1,2.0,Joe Dumars,210,42.0,Team2,1990
2,3.0,James Edwards,138,27.6,Team2,1990
3,4.0,Bill Laimbeer,191,38.2,Team2,1990
4,5.0,Vinnie Johnson,113,22.6,Team2,1990
5,6.0,Mark Aguirre,120,24.0,Team2,1990
6,7.0,John Salley,143,28.6,Team2,1990
7,8.0,Dennis Rodman,79,19.8,Team2,1990
8,9.0,Dave Greenwood,33,11.0,Team2,1990
9,10.0,Gerald Henderson,2,1.0,Team2,1990
10,11.0,Scott Hastings,4,2.0,Team2,1990
