Team,Overall
Detroit Pistons,63-19
Cleveland Cavaliers,57-25
Los Angeles Lakers,57-25
Phoenix Suns,55-27
Atlanta Hawks,52-30
New York Knicks,52-30
Utah Jazz,51-31
Milwaukee Bucks,49-33
Chicago Bulls,47-35
Seattle SuperSonics,47-35
Philadelphia 76ers,46-36
Houston Rockets,45-37
Denver Nuggets,44-38
Golden State Warriors,43-39
Boston Celtics,42-40
Washington Bullets,40-42
Portland Trail Blazers,39-43
Dallas Mavericks,38-44
Indiana Pacers,28-54
Sacramento Kings,27-55
New Jersey Nets,26-56
Los Angeles Clippers,21-61
San Antonio Spurs,21-61
Charlotte Hornets,20-62
Miami Heat,15-67
