,Rk,Player,Pos,ATOI,Team,Year
0,1.0,Mats Naslund,LW,,Team1,1989
1,2.0,Bobby Smith,C,,Team1,1989
2,3.0,Chris Chelios*,D,,Team1,1989
3,4.0,Stephane Richer,RW,,Team1,1989
4,5.0,Guy Carbonneau*,C,,Team1,1989
5,6.0,Claude Lemieux,RW,,Team1,1989
6,7.0,Shayne Corson,C,,Team1,1989
7,8.0,Petr Svoboda,D,,Team1,1989
8,9.0,Mike McPhee,LW,,Team1,1989
9,10.0,Brian Skrudland,C,,Team1,1989
10,11.0,Russ Courtnall,RW,,Team1,1989
11,12.0,Mike Keane,RW,,Team1,1989
12,13.0,Ryan Walter,LW,,Team1,1989
13,14.0,Larry Robinson*,D,,Team1,1989
14,15.0,Brent Gilchrist,LW,,Team1,1989
15,16.0,Bob Gainey*,LW,,Team1,1989
16,17.0,Craig Ludwig,D,,Team1,1989
17,18.0,Rick Green,D,,Team1,1989
18,19.0,Eric Desjardins,D,,Team1,1989
19,20.0,Gilles Thibaudeau,C,,Team1,1989
20,21.0,Patrick Roy*,G,57:10,Team1,1989
21,22.0,Mike Lalor,D,,Team1,1989
22,23.0,Jose Charbonneau,RW,,Team1,1989
23,24.0,Jyrki Lumme,D,,Team1,1989
24,25.0,Steve Martinson,LW,,Team1,1989
25,26.0,Benoit Brunet,LW,,Team1,1989
26,27.0,Donald Dufresne,D,,Team1,1989
27,28.0,Stephan Lebeau,C,,Team1,1989
28,29.0,Jocelyn Lemieux,RW,,Team1,1989
29,30.0,Randy Exelby,G,2:55,Team1,1989
30,31.0,Brian Hayward,G,58:06,Team1,1989
31,32.0,John Kordic,RW,,Team1,1989
32,,Team Total,,,Team1,1989
0,1.0,Joe Mullen*,RW,,Team2,1989
1,2.0,Hakan Loob,RW,,Team2,1989
2,3.0,Doug Gilmour*,C,,Team2,1989
3,4.0,Joe Nieuwendyk*,C,,Team2,1989
4,5.0,Al MacInnis*,D,,Team2,1989
5,6.0,Gary Suter,D,,Team2,1989
6,7.0,Jiri Hrdina,C,,Team2,1989
7,8.0,Joel Otto,C,,Team2,1989
8,9.0,Gary Roberts,LW,,Team2,1989
9,10.0,Colin Patterson,LW,,Team2,1989
10,11.0,Jim Peplinski,LW,,Team2,1989
11,12.0,Theoren Fleury,C,,Team2,1989
12,13.0,Mark Hunter,RW,,Team2,1989
13,14.0,Jamie Macoun,D,,Team2,1989
14,15.0,Brad McCrimmon,D,,Team2,1989
15,16.0,Dana Murzyn,D,,Team2,1989
16,17.0,Lanny McDonald*,RW,,Team2,1989
17,18.0,Rob Ramage,D,,Team2,1989
18,19.0,Tim Hunter,RW,,Team2,1989
19,20.0,Ric Nattress,D,,Team2,1989
20,21.0,Perry Berezan,C,,Team2,1989
21,22.0,Brian MacLellan,LW,,Team2,1989
22,23.0,Mike Vernon,G,56:30,Team2,1989
23,24.0,Brian Glynn,D,,Team2,1989
24,25.0,Rick Lessard,D,,Team2,1989
25,26.0,Ken Sabourin,D,,Team2,1989
26,27.0,Rick Wamsley,G,55:03,Team2,1989
27,28.0,Rich Chernomaz,RW,,Team2,1989
28,29.0,Shane Churla,RW,,Team2,1989
29,30.0,Stu Grimson,LW,,Team2,1989
30,31.0,Sergei Priakin,RW,,Team2,1989
31,32.0,Paul Ranheim,LW,,Team2,1989
32,33.0,Dave Reierson,D,,Team2,1989
33,,Team Total,,,Team2,1989
0,1.0,Mark Messier*,C,,Team1,1990
1,2.0,Jari Kurri*,RW,,Team1,1990
2,3.0,Glenn Anderson*,RW,,Team1,1990
3,4.0,Esa Tikkanen,C,,Team1,1990
4,5.0,Craig Simpson,LW,,Team1,1990
5,6.0,Petr Klima,LW,,Team1,1990
6,7.0,Craig MacTavish,C,,Team1,1990
7,8.0,Steve Smith,D,,Team1,1990
8,9.0,Kevin Lowe,D,,Team1,1990
9,10.0,Mark Lamb,C,,Team1,1990
10,11.0,Martin Gelinas,LW,,Team1,1990
11,12.0,Joe Murphy,RW,,Team1,1990
12,13.0,Randy Gregg,D,,Team1,1990
13,14.0,Charlie Huddy,D,,Team1,1990
14,15.0,Adam Graves,LW,,Team1,1990
15,16.0,Vladimir Ruzicka,C,,Team1,1990
16,17.0,Craig Muni,D,,Team1,1990
17,18.0,Geoff Smith,D,,Team1,1990
18,19.0,Jeff Beukeboom,D,,Team1,1990
19,20.0,Kelly Buchberger,LW,,Team1,1990
20,21.0,Reijo Ruotsalainen,D,,Team1,1990
21,22.0,Normand Lacombe,RW,,Team1,1990
22,23.0,Peter Eriksson,LW,,Team1,1990
23,24.0,Dave Brown,RW,,Team1,1990
24,25.0,Jimmy Carson,RW,,Team1,1990
25,26.0,Kevin McClelland,C,,Team1,1990
26,27.0,Chris Joseph,D,,Team1,1990
27,28.0,Bill Ranford,G,55:29,Team1,1990
28,29.0,Francois Leroux,D,,Team1,1990
29,30.0,Trevor Sim,RW,,Team1,1990
30,31.0,Bruce Bell,D,,Team1,1990
31,32.0,Randy Exelby,G,59:55,Team1,1990
32,33.0,Grant Fuhr*,G,51:28,Team1,1990
33,34.0,Mike Greenlay,G,10:13,Team1,1990
34,35.0,Tommy Lehman,C,,Team1,1990
35,36.0,Norm Maciver,D,,Team1,1990
36,37.0,Pokey Reddick,G,54:52,Team1,1990
37,38.0,Michael Ware,RW,,Team1,1990
38,,Team Total,,,Team1,1990
0,1.0,Cam Neely*,RW,,Team2,1990
1,2.0,Ray Bourque*,D,,Team2,1990
2,3.0,Craig Janney,C,,Team2,1990
3,4.0,Bob Carpenter,LW,,Team2,1990
